# A=0.50(MPa)(=0.01*50MPa)    L=    0.0100 (m)
# Vpl Nankai Tonankai Tokai      0.0575    0.0475    0.0200 (m/y)
# B-A (Mpa)   Tr(yr)  Nankai 2 3   Tonankai 4 5  Tokai 6
0.050    53.7723    57.0463    85.9636
0.100    93.9993    98.9006   144.3167
0.150   133.9268   140.5770   203.1679
0.200   173.8091   182.25753  262.2965   
0.250   213.8352   224.1400   321.7789
0.300   254.1153   266.2286   381.6805
0.350   294.5540   308.5253   441.8938 
0.400   335.2605   351.0961   502.5139
0.450   376.1707   393.9136   563.5079




 
