# A=1.00(MPa)(=0.02*50MPa)    L=    0.0100 (m)
# Vpl Nankai Tonankai Tokai    0.0575    0.0475    0.0200 (m/y) 
# B-A (Mpa)   Tr(yr)  Nankai 2 3   Tonankai 4 5  Tokai 6
0.050    63.9682    68.3934   106.0989
0.100   107.9897   114.0488   168.9532
0.150   151.6776   159.5363   232.4928
0.200   194.6799   204.3986   295.6544
0.250   237.2383   248.8437   358.4952
0.300   279.5672   293.0744   421.1829
0.350   321.8060   337.2229   483.8453
0.400   364.0330   381.3726   546.5646
0.450   406.3014   425.5828   609.3916






 
